l90_1,l90_3,l90_4,l90_5,l250_1,l250_5,l250_6,l250_7,o73_1,o73_2,o73_3,o73_4,o73_5,o128_1,o128_2,o128_3,o128_4,o128_5
0.35015367975061745,0.40084124562651097,0.2825065893360524,0.267048950559232,0.389790005723907,0.30225571434851073,0.26590264304417066,0.25902513989334985,0.2933472270496803,0.273862064207007,0.3312959440074575,0.3077711034945585,0.28049509465463773,0.30824033965053077,0.30507133933997954,0.29279203561402306,0.28349913458581044,0.29817295521432063
0.3720021013359289,0.4264760895429191,0.30013118892483037,0.2838434747734892,0.41400908412293747,0.3210348065329435,0.2824913210602601,0.27529734613559453,0.31152185581278663,0.29331935891505406,0.3520841029125953,0.3268637134767864,0.29824716024172787,0.3272255313846994,0.32383057835849643,0.31078602298581653,0.3012028533508678,0.3166750672039729
0.3936001034181775,0.4519630141914047,0.3176347107930568,0.30052683664501795,0.438055455176412,0.33964922205487746,0.2989087711857924,0.29144351451844297,0.3294953123027531,0.31349530401345815,0.37285627561886686,0.3457990080158681,0.3158479634794211,0.34599689063546374,0.3423086248283239,0.3285036432310606,0.3188073669155325,0.3350744711374804
0.4151030104212548,0.47734200283282174,0.3348971302413717,0.3170402105729825,0.4618919192207335,0.3581285842925532,0.3152359301614563,0.30749025258409124,0.3472515632119222,0.3328135531615873,0.3937092009552104,0.3645621586176653,0.3333636863145364,0.3645919939825042,0.3606104143467799,0.3460356784983693,0.3363426338015003,0.3532989656472425
0.4365460557169804,0.5026075321938215,0.35206104826057094,0.3334395653007912,0.4855171902467847,0.37650453748524687,0.3314261628232241,0.3233830635743411,0.3648624577054872,0.3512696425713072,0.41458693080735903,0.38318107094822607,0.3508161940293311,0.3829657142405424,0.3787336867567524,0.36338548001076426,0.35375710617337824,0.3713548190309935
0.45790076228667886,0.5275837775352374,0.36906132031133326,0.34973189460322074,0.5088241073096563,0.3947296513021046,0.34752153122720963,0.33917873682253724,0.3823289869500243,0.3689421125200944,0.4353836914854934,0.4016460248518065,0.3681903532817327,0.40117211560269084,0.396655800217926,0.38062897743007296,0.37107019375060035,0.38923052708255174
0.4791825204025464,0.5522708847211193,0.38590365492719414,0.36595518393142723,0.5318700776190244,0.4127575483521676,0.3634497877206733,0.35480620131620877,0.3996253810997926,0.38669493578913783,0.4561318743042082,0.41999339941410085,0.3854655962796155,0.4191599264302567,0.4144330042625496,0.39768066601368246,0.3882341159077328,0.40702258121333473
0.5002855172927928,0.5767702094820393,0.4025432924225275,0.38211882878771913,0.5546685152348776,0.4305942855566803,0.3792659729072255,0.3702802828582092,0.4167416811976772,0.4044828990787969,0.4768405211765924,0.43820110070027934,0.4026338408647631,0.43695732907180357,0.43198028080440165,0.4144725357600758,0.4052999040360346,0.4246820764623545
0.5211783261040958,0.6011783395571296,0.41898765160351337,0.3982334909623714,0.5772446439963231,0.4482278751314849,0.39487846478336325,0.3855857420219471,0.43374555875833826,0.42222371280678894,0.4974978828799508,0.4562414868117364,0.4196387584225305,0.4545595738295997,0.4493690123482294,0.43101799424788834,0.42238160714656026,0.44217303777576683
0.5418384898190358,0.6255232204576677,0.43536913731434856,0.414234959466645,0.5995380297453868,0.465742162038598,0.41032185742572225,0.400745530321404,0.45064401564114653,0.43998809981081394,0.5180595868499014,0.474158431830048,0.4364706485882214,0.47198585646788477,0.46651235925072465,0.44733242770865844,0.4395295846687049,0.4595071887309914
